planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,luminosidad,luminosidad_nivel,ventilador,ventilador_nivel,rociador,rociador_nivel,recomendacion
Tomate,62,medio,82.3,alto,34.0,medio,50.0,medio,58.7322175546228,medio,9.966679951145109,bajo,alerta exceso humedad
Tomate,21,bajo,67.65,alto,23.63636363636364,bajo,33.72727272727273,bajo,25.439778656133832,medio,12.33193231760715,bajo,estable
Tomate,79,alto,56.225,medio,38.9,alto,60.16666666666666,medio,89.86356412397052,alto,45.000008134162286,medio,alerta temperatura
Tomate,13,bajo,73.95,alto,39.73333333333333,alto,62.55555555555556,medio,90.02152806843831,alto,10.675164815052442,bajo,alerta temperatura
Tomate,69,medio,62.375,medio,39.5,alto,63.16666666666667,medio,89.99469589646465,alto,38.722951467149095,medio,alerta temperatura
Tomate,99,alto,90.0,alto,38.46666666666667,alto,62.44444444444445,medio,89.72054014839696,alto,9.966679951145109,bajo,alerta temperatura
Tomate,41,medio,50.325,medio,39.7,alto,65.5,alto,90.01858923431807,alto,45.00000702360168,medio,alerta temperatura
Tomate,56,medio,44.475,medio,38.66666666666666,alto,64.77777777777777,alto,89.79114712771577,alto,0.0,bajo,alerta temperatura
Tomate,85,alto,68.625,alto,39.1,alto,66.5,alto,89.91651642089458,alto,12.036371645770938,bajo,alerta temperatura
Tomate,86,alto,74.52499999999999,alto,38.86666666666667,alto,67.11111111111111,alto,89.85389612319277,alto,10.560632730765185,bajo,alerta temperatura
Tomate,85,alto,71.325,alto,38.96666666666667,alto,68.27777777777777,alto,89.88217958226687,alto,11.28592775515651,bajo,alerta temperatura
Tomate,6,bajo,57.75,medio,38.2,alto,68.0,alto,89.6150535006216,alto,45.00000703229485,medio,alerta temperatura
Tomate,95,alto,50.775000000000006,medio,38.9,alto,70.16666666666666,alto,89.86356412397052,alto,45.000008571744935,medio,alerta temperatura
Tomate,95,alto,66.0,alto,38.4,alto,70.33333333333333,alto,89.69536132483468,alto,12.85710132004758,bajo,alerta temperatura
Tomate,70,medio,100.0,alto,38.43333333333333,alto,71.38888888888889,alto,89.70804868514577,alto,9.966679951145109,bajo,alerta temperatura
Tomate,94,alto,57.025000000000006,medio,38.46666666666667,alto,72.44444444444446,alto,89.72054014839696,alto,45.00000682643338,medio,alerta temperatura
Tomate,100,alto,100.0,alto,38.73333333333333,alto,73.88888888888889,alto,89.81295099520719,alto,9.966679951145109,bajo,alerta temperatura
Tomate,23,bajo,23.8,bajo,39.833333333333336,alto,76.72222222222223,alto,62.305540808531994,medio,86.29104042143624,alto,alerta temperatura
Tomate,86,alto,93.375,alto,38.46666666666667,alto,75.44444444444446,alto,89.72054014839696,alto,9.966679951145109,bajo,alerta temperatura
