planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,luminosidad,luminosidad_nivel,ventilador,ventilador_nivel,rociador,rociador_nivel,recomendacion
Pimentón,86,alto,87.8,alto,39.43333333333333,alto,59.05555555555555,medio,89.98439495499746,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,90,alto,71.325,alto,39.46666666666667,alto,60.11111111111112,medio,89.98970252559965,alto,11.28592775515651,bajo,alerta temperatura
Pimentón,61,medio,47.45,medio,39.46666666666667,alto,61.11111111111112,medio,89.98970252559965,alto,44.99999237721461,medio,alerta temperatura
Pimentón,3,bajo,10.075,bajo,39.43333333333333,alto,62.05555555555555,medio,61.90196600975648,medio,86.69999334667001,alto,alerta temperatura
Pimentón,56,medio,64.425,alto,23.63636363636364,bajo,36.72727272727273,bajo,25.439778656133832,medio,23.441136571917365,bajo,estable
Pimentón,73,alto,63.975,alto,39.46666666666667,alto,64.11111111111111,alto,89.98970252559965,alto,28.75229701404556,medio,alerta temperatura
Pimentón,72,alto,96.0,alto,38.06666666666667,alto,62.777777777777786,medio,89.55773495711635,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,53,medio,58.875,medio,39.2,alto,65.66666666666667,alto,89.93965914007892,alto,45.000007738140745,medio,alerta temperatura
Pimentón,97,alto,58.275,medio,38.86666666666667,alto,66.11111111111111,alto,89.85389612319277,alto,45.00000818566781,medio,alerta temperatura
Pimentón,79,alto,85.35000000000001,alto,39.6,alto,68.33333333333334,alto,90.0080006230454,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,96,alto,72.475,alto,39.333333333333336,alto,68.88888888888889,alto,89.96685328328175,alto,11.001918121190304,bajo,alerta temperatura
Pimentón,59,medio,74.02499999999999,alto,22.727272727272727,bajo,42.21212121212121,medio,18.208520709056078,bajo,10.659793821936102,bajo,alerta temperatura
Pimentón,78,alto,63.6,alto,39.66666666666666,alto,71.44444444444444,alto,90.01535188806471,alto,32.05056130585016,medio,alerta temperatura
Pimentón,95,alto,89.0,alto,39.266666666666666,alto,71.77777777777777,alto,89.95376876747912,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,73,alto,100.0,alto,39.2,alto,72.66666666666667,alto,89.93965914007892,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,92,alto,70.72500000000001,alto,39.43333333333333,alto,74.05555555555554,alto,89.98439495499746,alto,11.443161319764727,bajo,alerta temperatura
Pimentón,76,alto,52.275000000000006,medio,39.3,alto,74.83333333333333,alto,89.96044206314825,alto,45.00001150505326,medio,alerta temperatura
Pimentón,93,alto,65.5,alto,39.2,alto,75.66666666666667,alto,89.93965914007892,alto,13.021890668811567,bajo,alerta temperatura
Pimentón,92,alto,100.0,alto,39.06666666666667,alto,76.44444444444446,alto,89.90831406362376,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,91,alto,98.575,alto,38.9,alto,77.16666666666666,alto,89.86356412397052,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,27,bajo,36.95,bajo,23.0,bajo,51.66666666666666,medio,19.798879890268474,bajo,81.50809525176166,alto,alerta temperatura
Pimentón,79,alto,57.15,medio,39.6,alto,59.333333333333336,medio,90.0080006230454,alto,45.00000775630251,medio,alerta temperatura
Pimentón,78,alto,82.92500000000001,alto,38.833333333333336,alto,59.05555555555556,medio,89.84400434533903,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,71,alto,62.55,medio,39.36666666666667,alto,60.94444444444444,medio,89.97296573243311,alto,38.011943533612,medio,alerta temperatura
Pimentón,86,alto,16.400000000000002,bajo,38.6,alto,60.66666666666667,medio,61.81792939639385,medio,86.69999334667001,alto,alerta temperatura
Pimentón,90,alto,60.225,medio,39.6,alto,63.333333333333336,alto,90.0080006230454,alto,44.56853418413825,medio,alerta temperatura
Pimentón,86,alto,80.575,alto,39.2,alto,63.66666666666667,alto,89.93965914007892,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,90,alto,96.475,alto,39.66666666666666,alto,65.44444444444444,alto,90.01535188806471,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,41,medio,72.075,alto,39.266666666666666,alto,65.77777777777777,alto,89.95376876747912,alto,11.097990673666423,bajo,alerta temperatura
Pimentón,83,alto,69.925,alto,39.5,alto,67.16666666666667,alto,89.99469589646465,alto,11.66164761784461,bajo,alerta temperatura
Pimentón,55,medio,81.25,alto,39.266666666666666,alto,67.77777777777777,alto,89.95376876747912,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,97,alto,62.05,medio,23.0,bajo,41.66666666666666,medio,19.14273216289177,bajo,39.908684293633996,medio,alerta temperatura
Pimentón,78,alto,55.075,medio,39.3,alto,69.83333333333333,alto,89.96044206314825,alto,45.00000998990742,medio,alerta temperatura
Pimentón,77,alto,59.05,medio,38.9,alto,70.16666666666666,alto,89.86356412397052,alto,45.0000148821383,medio,alerta temperatura
Pimentón,99,alto,82.125,alto,39.23333333333333,alto,71.72222222222223,alto,89.94684025679112,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,48,medio,42.25,medio,39.06666666666667,alto,72.44444444444446,alto,89.90831406362376,alto,0.0,bajo,alerta temperatura
Pimentón,84,alto,47.725,medio,39.4,alto,74.0,alto,89.97881388722828,alto,45.00000226661883,medio,alerta temperatura
Pimentón,79,alto,61.9,medio,39.2,alto,74.66666666666667,alto,89.93965914007892,alto,40.40559027046166,medio,alerta temperatura
Pimentón,79,alto,81.72500000000001,alto,39.6,alto,76.33333333333334,alto,90.0080006230454,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,94,alto,81.575,alto,39.56666666666667,alto,77.27777777777779,alto,90.00384937779621,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,88,alto,46.425,medio,39.3,alto,77.83333333333333,alto,89.96044206314825,alto,45.00005873363883,medio,alerta temperatura
Pimentón,96,alto,62.1,medio,39.46666666666667,alto,79.11111111111111,alto,90.01303144685527,alto,39.73652468655356,medio,alerta temperatura
Pimentón,97,alto,53.55,medio,39.5,alto,59.16666666666667,medio,89.99469589646465,alto,45.000011506896705,medio,alerta temperatura
Pimentón,92,alto,79.0,alto,38.96666666666667,alto,59.27777777777778,medio,89.88217958226687,alto,9.991999376954611,bajo,alerta temperatura
Pimentón,86,alto,99.625,alto,39.2,alto,60.66666666666667,medio,89.93965914007892,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,76,alto,75.575,alto,39.266666666666666,alto,61.77777777777778,medio,89.95376876747912,alto,10.372458596765782,bajo,alerta temperatura
